name:en,addr:street,addr:housenumber,category,geometry
,,,Entertainment,POINT (30.76692326481834 46.428046492251106)
,,,Tourism / Beach,POINT (30.745538850591036 46.37808963830429)
,,47/2,Entertainment,POINT (30.728090441429636 46.494865234652174)
ATB-Market,Миколаївська дорога,307-А,Mall / Supermarket,POINT (30.768126721060042 46.55634235590503)
,,,Entertainment,POINT (30.770111813113175 46.4321342668347)
,,,University,POINT (30.72684909666989 46.46073541608101)
,,,Office / Business Center,POINT (30.738707556148068 46.460843418135624)
,,,Office / Business Center,POINT (30.718905510770618 46.4672636132402)
,,,University,POINT (30.7226740628204 46.47633278447318)
,,,University,POINT (30.72347332393735 46.47648148639873)
,,,Office / Business Center,POINT (30.727208632761997 46.48738461853628)
,,,University,POINT (30.720300696349135 46.49454658855263)
,,,Tourism / Beach,POINT (30.722140598275757 46.49086853206915)
,вулиця Пастера,15а,Entertainment,POINT (30.726365368455888 46.49072670766207)
,,,University,POINT (30.73185665045519 46.486839903258)
Medical college,,,University,POINT (30.72680233052313 46.487744075803505)
,,,University,POINT (30.72178819507646 46.49165203733934)
,,,University,POINT (30.718850608641432 46.48804836449122)
,вулиця Пастера,16,University,POINT (30.72340823449808 46.49230693085054)
Mechnikov University,,,University,POINT (30.73061746291516 46.48803321423801)
,,,Office / Business Center,POINT (30.718731132993984 46.49168819363965)
,,,Office / Business Center,POINT (30.718973135886063 46.49248280854571)
,,,University,POINT (30.729606085512174 46.49434423817557)
,,,University,POINT (30.726688544445917 46.49277095448383)
,,,University,POINT (30.719422652941944 46.493999323804076)
,,,University,POINT (30.73522419466978 46.487370933528865)
,,,University,POINT (30.734015203872957 46.48982525111131)
,,,Entertainment,POINT (30.73512359469382 46.48830091414353)
,,,University,POINT (30.73374823917444 46.48798209081799)
,,,University,POINT (30.7349772610766 46.48771752321935)
,,,University,POINT (30.715967674927786 46.48384302646544)
"National University ""Odesa Maritime Academy""",вулиця Дідріхсона,8,University,POINT (30.71287334162569 46.48333062494853)
,,,University,POINT (30.71836005592263 46.48439879491586)
,Старопортофранківська вулиця,26,University,POINT (30.72135914906739 46.48050251130366)
,,,University,POINT (30.715838415493998 46.482121753502305)
,,,University,POINT (30.718608520730758 46.48252992485168)
State University of Intellectual Technologies and Communications,Ковальська вулиця,1,University,POINT (30.7234367307938 46.482515346785426)
,,,University,POINT (30.728331426440807 46.47530712538612)
,,,University,POINT (30.72140675691241 46.47796057789491)
,Тираспольська вулиця,6,University,POINT (30.730179273869947 46.47974272832466)
,вулиця Новосельського,100,Office / Business Center,POINT (30.729800506841517 46.47799943498686)
,,,University,POINT (30.72508267645071 46.48150288946887)
,,,University,POINT (30.721586183137823 46.482335342035384)
,,63,University,POINT (30.725022227369408 46.48311175197903)
,,,University,POINT (30.718887410574684 46.48311300295789)
,,,University,POINT (30.727259910365756 46.480512375920874)
,,,Sport Facility,POINT (30.727784395320867 46.483694123680785)
,,,University,POINT (30.721909113255776 46.47631688485736)
,,,University,POINT (30.72060648298352 46.47744837287217)
,,,University,POINT (30.73539931090089 46.41106335263829)
ATB-Market,,,Mall / Supermarket,POINT (30.729323732305964 46.40673146218097)
,,,University,POINT (30.737843701988044 46.409725037957145)
Levitan Market,,,Market,POINT (30.72932871032776 46.40711278567839)
,,12,Tourism / Beach,POINT (30.757942525615526 46.41280760017262)
,,,Office / Business Center,POINT (30.756857828326535 46.4672097382095)
Consulate of Georgia,,,Office / Business Center,POINT (30.7486633617838 46.46685802871721)
,,,University,POINT (30.748143545387897 46.48158290884597)
Consulate of Poland,,,Office / Business Center,POINT (30.752809782668354 46.474968333513665)
,Французький бульвар,8,Office / Business Center,POINT (30.753880008302126 46.46338160642291)
,,,Entertainment,POINT (30.740726596819705 46.48711319754915)
,,,University,POINT (30.733415763006516 46.4860623617391)
,,,University,POINT (30.70452628502808 46.47828685312776)
Starokinnyi Market,,,Market,POINT (30.712190140949183 46.478649454559374)
NU OMA Campus,,,University,POINT (30.703398482570726 46.48749809525184)
Consulate General of Romania in Odesa,,,Office / Business Center,POINT (30.74396901264159 46.47362333675999)
,,,Office / Business Center,POINT (30.741852971344045 46.479793671905426)
,,31,Office / Business Center,POINT (30.73667731310627 46.480589848421815)
,вулиця Ніни Строкатої,23,Office / Business Center,POINT (30.739263999951966 46.480922650054005)
,,,Office / Business Center,POINT (30.736737194655156 46.48084197175517)
,,,Office / Business Center,POINT (30.7385786199871 46.47917607602515)
,,15,University,POINT (30.727891714971694 46.488495690737054)
,,,University,POINT (30.72826584712889 46.488557357209864)
,,75,Office / Business Center,POINT (30.736138114129268 46.47273337310722)
,,,University,POINT (30.744699562957233 46.46890996618429)
,,11,Tourism / Beach,POINT (30.74569611916585 46.46794287371031)
"International economics faculty, Economical University",,,University,POINT (30.73907156796184 46.468025653509436)
Vuzovskyi Shopping Mall,,,Mall / Supermarket,POINT (30.727204203900904 46.411369803082835)
,,,University,POINT (30.746892980142906 46.46164497904987)
,,,University,POINT (30.716412592708632 46.45744920333621)
,,,Office / Business Center,POINT (30.740890544091545 46.449989632132976)
,,,University,POINT (30.743542578281673 46.4593902362781)
,,,University,POINT (30.737621710047424 46.44784184086229)
,проспект Шевченка,1/2,Office / Business Center,POINT (30.750399999998976 46.46138605001131)
,,,Office / Business Center,POINT (30.71164152898575 46.39096604944436)
,,,Market,POINT (30.704340933426113 46.38934044351243)
,,,Market,POINT (30.704069437263193 46.38712765188358)
,,,Market,POINT (30.70332999611334 46.38302935979974)
Mechanical and technological college ONAPT,,,University,POINT (30.72508833831884 46.49998240599418)
Interregional Academy of Personnel Management,,,University,POINT (30.724388161116494 46.50191796024312)
Pre-Chronic Scientific Institute of the Name I. І. Mechnikova,Церковна вулиця,2/4,Office / Business Center,POINT (30.72340660874966 46.5009070099963)
,,,University,POINT (30.730366727223185 46.527929796207296)
,,,Sport Facility,POINT (30.74694492695292 46.46284466470695)
,вулиця Академіка Заболотного,38/1,Office / Business Center,POINT (30.796925783056484 46.58092382205615)
Consulate General of the Republic of Bulgaria,,,Office / Business Center,POINT (30.758950966325088 46.42898014145845)
,,,Office / Business Center,POINT (30.76935266118892 46.4401469544366)
,,,University,POINT (30.746708872636532 46.43708955372968)
,вулиця Жоліо Кюрі,26,Market,POINT (30.78656927753226 46.593159861744006)
The Filatov Institute of Eye Diseases and Tissue Therapy,Французький бульвар,49/51,Office / Business Center,POINT (30.762425588915434 46.45477520922709)
Odesa I. I. Mechnikov National University,,,University,POINT (30.756957351021693 46.45251702790992)
,,,University,POINT (30.741306640004453 46.440795709694925)
National University “Odesa Academy of Law”,,,University,POINT (30.74511688115299 46.441731448472)
,,,Sport Facility,POINT (30.745326231845052 46.44086442765121)
,,,University,POINT (30.744315929351085 46.43472779808081)
,,,University,POINT (30.747757233505933 46.44248875271204)
,,,Sport Facility,POINT (30.76543727664616 46.428040070004826)
,,,University,POINT (30.720316032740396 46.417446811872274)
,,,Sport Facility,POINT (30.72198833084694 46.41347262615039)
,,,Mall / Supermarket,POINT (30.730334383171982 46.42745551325865)
,,,Office / Business Center,POINT (30.726269910009062 46.42880708132316)
,,,Sport Facility,POINT (30.718471747816643 46.38663640176256)
Tavria V,вулиця Академіка Заболотного,20,Mall / Supermarket,POINT (30.781167247086064 46.5843763558592)
,,,Tourism / Beach,POINT (30.74340715000141 46.38219745001277)
,,,Tourism / Beach,POINT (30.727567284638234 46.37076444686404)
,,24,Tourism / Beach,POINT (30.745963241684365 46.38657406573292)
,,,University,POINT (30.720515504998133 46.451795063033366)
,,,University,POINT (30.741851236964816 46.456321819041804)
Piatyi Element,вулиця Артура Савельєва,4,Mall / Supermarket,POINT (30.74729054740305 46.43832499190221)
,,,Tourism / Beach,POINT (30.748019021916623 46.395151238903715)
,,,Tourism / Beach,POINT (30.749938007681134 46.39793463614122)
Odesa Railway Station,Привокзальна площа,2,Tourism / Beach,POINT (30.74040288715158 46.46751358423154)
,,,Market,POINT (30.73184328935497 46.46929848648441)
,,49,Tourism / Beach,POINT (30.717148943387866 46.463586229562935)
Umka,проспект Князя Володимира Великого,145/1,Entertainment,POINT (30.795789233947126 46.590964153749034)
,,,Entertainment,POINT (30.76470716133576 46.42879974357285)
,,,Office / Business Center,POINT (30.769160769926533 46.43979456661279)
,Генуезька вулиця,24Б,Mall / Supermarket,POINT (30.758331357755036 46.43548688631626)
ATB-Market,Фонтанська дорога,18,Mall / Supermarket,POINT (30.749667646013602 46.428714843276566)
,,,Office / Business Center,POINT (30.709105854746948 46.43399550587417)
,вулиця Героїв Крут,15,Office / Business Center,POINT (30.713772588832565 46.43312589601125)
,,,Office / Business Center,POINT (30.715652282486605 46.43183470165307)
,,,Office / Business Center,POINT (30.71498272128993 46.43228816823641)
,,,University,POINT (30.708664142824386 46.42318659107525)
,,,Office / Business Center,POINT (30.71376249149602 46.433039595559016)
,,,Office / Business Center,POINT (30.713183119243098 46.43041146935217)
,,,Market,POINT (30.70575483539811 46.4446451949192)
,,,Market,POINT (30.705567406912184 46.44316173110412)
,,,Sport Facility,POINT (30.71526099929313 46.43557753097377)
,,,University,POINT (30.699527993453913 46.43807182850376)
,,,Market,POINT (30.694189652863667 46.4282219450605)
,,29,Sport Facility,POINT (30.70584982259978 46.44568743241925)
,,90а/1,Sport Facility,POINT (30.68453219153399 46.44672697321244)
,,50б,Office / Business Center,POINT (30.681892967713868 46.48559879238999)
,,12в,Office / Business Center,POINT (30.710870573983257 46.49202494487415)
,,,University,POINT (30.76832581841234 46.45635796837935)
Kopiika,проспект Князя Володимира Великого,84а,Mall / Supermarket,POINT (30.782276505151188 46.57515277836978)
,,,Sport Facility,POINT (30.658436843561827 46.47390370632631)
"Shopping Center ""Aeroportivskyi""",вулиця Малішевського,50,Mall / Supermarket,POINT (30.68406960873407 46.44833525770886)
Tavria V,проспект Князя Ярослава Мудрого,2,Mall / Supermarket,POINT (30.73144773075846 46.400864045268584)
,вулиця 28 бригади,12,University,POINT (30.796936796535036 46.59942630020652)
,вулиця Академіка Заболотного,9,University,POINT (30.781054400684372 46.58283781338678)
Bus station Starosinna,Старосінна площа,"1-А, 2",Transport Hub,POINT (30.738180743814357 46.46664492051418)
,,,Entertainment,POINT (30.772317109961516 46.55644490628483)
,,3,Office / Business Center,POINT (30.715156489592047 46.461183216076584)
,,64,Office / Business Center,POINT (30.719615599306074 46.46334312696496)
,,83Б,Office / Business Center,POINT (30.704288220911973 46.47221692698846)
,,,University,POINT (30.71333465098926 46.48144586648687)
,,,University,POINT (30.720008996802843 46.477346393698454)
,,,Tourism / Beach,POINT (30.74261610365537 46.482440330381706)
Odesa City Fair,,,Market,POINT (30.736506721268288 46.48391450473949)
Spartak Stadium,,,Sport Facility,POINT (30.74836817253873 46.46835054555436)
,,,University,POINT (30.72178266460029 46.47911870862574)
,,,Office / Business Center,POINT (30.720925953591955 46.48000176406067)
,,4,Office / Business Center,POINT (30.71925161164489 46.48134560136923)
Chornomorets Stadium,,,Sport Facility,POINT (30.755463075304334 46.4803152239006)
,,,Market,POINT (30.785586371856542 46.581156123120586)
Silpo,вулиця Валентини Терешкової,17-А,Mall / Supermarket,POINT (30.713983232361066 46.43074289385013)
Santim,Сабанський провулок,3,Mall / Supermarket,POINT (30.748600590023003 46.47910712142545)
,,,University,POINT (30.76412207072924 46.44134911374905)
,Велика Арнаутська вулиця,26,Office / Business Center,POINT (30.74258293554623 46.47280788725816)
,,,Office / Business Center,POINT (30.7150697353487 46.48990427659177)
,,,Tourism / Beach,POINT (30.76517313768397 46.42922065901514)
,,,Tourism / Beach,POINT (30.72252415000028 46.49315595000184)
,,,Tourism / Beach,POINT (30.726720499999956 46.493959050002786)
,,,Tourism / Beach,POINT (30.723690450000127 46.486095900002695)
,,,University,POINT (30.734574673195567 46.47327580332573)
,,,Mall / Supermarket,POINT (30.74359815372628 46.43200765870926)
Virtus,,,Mall / Supermarket,POINT (30.73538334005791 46.45324907299047)
Cossacks of Zaporozhye,,9,Office / Business Center,POINT (30.72377954028575 46.499657595805715)
,,,Sport Facility,POINT (30.74238990928522 46.47451827929644)
,,,Tourism / Beach,POINT (30.728031293424237 46.451122977565994)
,вулиця Новощіпний Ряд,2,Mall / Supermarket,POINT (30.737303037754792 46.468256117583)
Zelenyi Theatre,,,Entertainment,POINT (30.751766291184115 46.47844803253214)
,Аркадійська алея,,Entertainment,POINT (30.766613550006 46.42819345011917)
,вулиця Незалежності,13,Office / Business Center,POINT (30.748399911675918 46.45098588288188)
ATB-Market,проспект Князя Володимира Великого,122/2,Mall / Supermarket,POINT (30.798277590980987 46.59155120425087)
,,,Tourism / Beach,POINT (30.736760149999935 46.47146490000076)
,,,Sport Facility,POINT (30.709894705679105 46.488891237261065)
,,,Tourism / Beach,POINT (30.718961972129335 46.37239927682156)
,,,Office / Business Center,POINT (30.726197976148327 46.42834686840532)
,Люстдорфська дорога,86,Office / Business Center,POINT (30.726996975806895 46.428923384415725)
,,,Tourism / Beach,POINT (30.69185190000022 46.51863665001341)
,,,Tourism / Beach,POINT (30.754309317952654 46.4206257586071)
,,,Tourism / Beach,POINT (30.75347564575068 46.42319646931156)
,,34,Tourism / Beach,POINT (30.684256841362735 46.524979862425795)
,,,Tourism / Beach,POINT (30.684920750002973 46.52476580000644)
,,,Tourism / Beach,POINT (30.67626621617667 46.53904869493992)
,,,Tourism / Beach,POINT (30.671699106343578 46.541190782391745)
,,,Tourism / Beach,POINT (30.769414711843556 46.43923300955152)
,,,Tourism / Beach,POINT (30.745944643622657 46.42238988412538)
,,,University,POINT (30.727943125841826 46.47998082048303)
,,,University,POINT (30.721639887289143 46.49281808626884)
Odesa Circus,,,Entertainment,POINT (30.726094104370357 46.48700875307008)
,Ланжеронівська вулиця,24,Office / Business Center,POINT (30.738223211647295 46.4852739892682)
,,,University,POINT (30.724485776613022 46.48349604138293)
,вулиця Академіка Заболотного,103в,Mall / Supermarket,POINT (30.79794983320422 46.57737630932677)
,,,Office / Business Center,POINT (30.675619212745787 46.487050493297765)
,,,Market,POINT (30.675747270522056 46.48704425839171)
,вулиця Академіка Вільямса,1в,Mall / Supermarket,POINT (30.706180234168485 46.389436261102944)
Silpo,вулиця Академіка Вільямса,75,Mall / Supermarket,POINT (30.719509090324415 46.39037170988548)
,,,Office / Business Center,POINT (30.728902043902767 46.42290336457933)
,,,Office / Business Center,POINT (30.702522579889223 46.47874858885277)
,Аркадія пляж,12,Entertainment,POINT (30.768881007322225 46.43087904469981)
,,,Office / Business Center,POINT (30.710382942860626 46.38921669854161)
,,4 к1,Office / Business Center,POINT (30.701236625232237 46.45938835231107)
,,,Tourism / Beach,POINT (30.748259048767483 46.47811685092572)
,,,Office / Business Center,POINT (30.72569204783554 46.431697548860214)
,вулиця Семена Палія,99-В,Mall / Supermarket,POINT (30.794526912715998 46.57242364892745)
,,,Entertainment,POINT (30.77108545517877 46.445985174160136)
,,,Sport Facility,POINT (30.770983389109233 46.448869405497284)
Kopeyka,Фонтанська дорога,118/2,Mall / Supermarket,POINT (30.74678558962784 46.392218993007084)
,вулиця Академіка Вільямса,44,Mall / Supermarket,POINT (30.7336268561608 46.39239072244369)
,,,Entertainment,POINT (30.714679636988567 46.42973006035771)
TavriaV,,,Mall / Supermarket,POINT (30.677186458734333 46.45548976695265)
ATB-Market,вулиця Семена Палія,113д,Mall / Supermarket,POINT (30.800160497415046 46.580039304814015)
,,,Office / Business Center,POINT (30.73424494941524 46.54916540334296)
,,,Market,POINT (30.73539589755318 46.46744375975342)
,Марсельська вулиця,48/1,Sport Facility,POINT (30.79768901488816 46.571512128498206)
,,,Sport Facility,POINT (30.710060293247803 46.48285172228503)
,,49,Tourism / Beach,POINT (30.71701952370775 46.46368987594631)
,,49,Tourism / Beach,POINT (30.716747022991036 46.46390765841373)
,,,Sport Facility,POINT (30.657730912199572 46.47355097100803)
,,,Tourism / Beach,POINT (30.65865329833931 46.47421529721168)
Fontan Sky Mall,провулок Семафорний,4,Mall / Supermarket,POINT (30.74173502487912 46.460692492234536)
Cigarettes,,,Market,POINT (30.723729416344014 46.49808757804087)
,вулиця Золотий Берег,37/2,Entertainment,POINT (30.751347797338124 46.388265290853866)
,,,Entertainment,POINT (30.75157415174283 46.388850378062294)
,,,Entertainment,POINT (30.754292715684993 46.39939784637425)
,Фонтанська дорога,,Entertainment,POINT (30.75673225228909 46.40279165035473)
,,,Entertainment,POINT (30.75823523047616 46.40514241554618)
,,,Entertainment,POINT (30.76048812771323 46.411804605854975)
,Аркадійська алея,20,Entertainment,POINT (30.766514805268216 46.427124196214244)
,,,Entertainment,POINT (30.768137731887844 46.428636550062265)
,Аркадійська алея,25,Entertainment,POINT (30.768364797922573 46.42992629768136)
,Аркадія пляж,,Entertainment,POINT (30.768996423379555 46.43063376379944)
,Аркадія пляж,15,Entertainment,POINT (30.7702163714325 46.43231145840755)
,Пляж Дельфін,4а,Entertainment,POINT (30.76926966552245 46.45131804337519)
,Пляж Дельфін,5,Entertainment,POINT (30.768435632906137 46.4525140539145)
,Пляж Дельфін,4,Entertainment,POINT (30.768508308828576 46.45354333119123)
,Пляж Дельфін,3,Entertainment,POINT (30.768398620950034 46.454375222277115)
,,,Entertainment,POINT (30.768468592453225 46.45499427187365)
,Ланжерон пляж,5,Entertainment,POINT (30.76397423064309 46.47032523140976)
,Хаджибейська дорога,143,Tourism / Beach,POINT (30.689397313453618 46.51977585277585)
Cosmos,,,Mall / Supermarket,POINT (30.729233233476332 46.42746233446132)
,вулиця Академіка Філатова,15Б,Office / Business Center,POINT (30.72186952780243 46.432701055569964)
,,,Mall / Supermarket,POINT (30.69297857315804 46.48230390717311)
,,,Office / Business Center,POINT (30.732551985685124 46.44487516589048)
,,,Office / Business Center,POINT (30.667236031167292 46.471069008957706)
TC Volna 2,вулиця Владислава Бувалкіна,57г,Mall / Supermarket,POINT (30.802451603783513 46.58439477407908)
Tavria V,вулиця Академіка Заболотного,40/1,Mall / Supermarket,POINT (30.794403707998335 46.578809351523276)
,провулок Олександра Юрженка,20,Office / Business Center,POINT (30.72116618725744 46.44003229483906)
,,,Sport Facility,POINT (30.745941149998554 46.44861445036677)
,,,Market,POINT (30.715474744024494 46.4326370827314)
,,,Office / Business Center,POINT (30.660002049999722 46.447474850170785)
,,,Market,POINT (30.7271886273455 46.435226549329144)
,,,Tourism / Beach,POINT (30.731909089112712 46.46702627283147)
,,,Tourism / Beach,POINT (30.731783711502516 46.46433420797689)
,,,Tourism / Beach,POINT (30.731904994716825 46.46620180470873)
,,,Tourism / Beach,POINT (30.731950812945957 46.4682709892158)
,,,Tourism / Beach,POINT (30.73210006064144 46.468270848210466)
,,,Tourism / Beach,POINT (30.73223348054702 46.4682441457617)
,,,Tourism / Beach,POINT (30.731305784625434 46.46678191501169)
,,,Tourism / Beach,POINT (30.73138841817444 46.46667482221604)
,,,Tourism / Beach,POINT (30.731422017333937 46.466579517446455)
,,,Tourism / Beach,POINT (30.731460860543063 46.46646511013848)
,,,Tourism / Beach,POINT (30.731494176183475 46.46636704441784)
,,,Tourism / Beach,POINT (30.73161145821796 46.46587786076588)
,,,Tourism / Beach,POINT (30.731680216570677 46.465715635735215)
,,,Tourism / Beach,POINT (30.731769003918274 46.465542615858254)
,,,Tourism / Beach,POINT (30.731792237613288 46.46542134699978)
,,,Tourism / Beach,POINT (30.731798056281093 46.4652471201984)
,,,Tourism / Beach,POINT (30.7318005680314 46.465080733276885)
,,,Tourism / Beach,POINT (30.731784413714756 46.46496999666879)
,,,Tourism / Beach,POINT (30.73178637385011 46.46480207921171)
,,,Tourism / Beach,POINT (30.731807434042178 46.464630886592424)
,,,Tourism / Beach,POINT (30.731769808082486 46.46450605716044)
,,,Tourism / Beach,POINT (30.73179637899651 46.464415575027736)
,,,Tourism / Beach,POINT (30.73233648360999 46.46657752588717)
Pryvoz Bus Station,вулиця Новощіпний Ряд,5,Transport Hub,POINT (30.736518485183712 46.46742427347339)
ATB-Market,,,Mall / Supermarket,POINT (30.68766163663869 46.465506990658675)
,,,Tourism / Beach,POINT (30.744032299999933 46.47122130000075)
,,,Mall / Supermarket,POINT (30.72893460910423 46.4234754065386)
,,,Mall / Supermarket,POINT (30.7244189763481 46.39615137141754)
Odesa Passage,,,Tourism / Beach,POINT (30.733177052865326 46.48397889685749)
,,,Sport Facility,POINT (30.736186949623242 46.44377256656885)
,,,Sport Facility,POINT (30.748040484722406 46.46327824189116)
,,8,Tourism / Beach,POINT (30.728530904414463 46.48103470939885)
Odesa Oblast Philharmonic Orchestra,вулиця Ніни Строкатої,15,Entertainment,POINT (30.743152277495234 46.48047243240099)
,,6,Office / Business Center,POINT (30.743600660948218 46.48406842921453)
,,,Sport Facility,POINT (30.729520035171674 46.5221140442594)
Potemkin Stairs,,,Tourism / Beach,POINT (30.742019449140805 46.488579260542195)
Odesa National Medical University,,,University,POINT (30.72571732393262 46.49349900022271)
,,,Market,POINT (30.61945183970942 46.48607650212147)
